Date,Catcher,Pitcher,Handedness,Runner,Fielder,SB/CS,pitcher_stealing_runs,lead_distance_gained,", at_pitchers_first_move",at_pitch_release,Link,Notes,Velocity,Ball,Strike
3/30/24,"Ruiz, K.","Corbin, P.",L,"De La Cruz, E.","García Jr., L.",CS,-0.12,8.3,11.5,19.8,https://baseballsavant.mlb.com/sporty-videos?playId=19c7571d-b562-4207-b702-4e551352c6e1,N/A,90.3,0,0
8/3/24,"Bailey, P.","Harrison, K.",L,"De La Cruz, E.","Schmitt, C.",CS,-0.06,6,12.1,18.1,https://baseballsavant.mlb.com/sporty-videos?playId=4236882e-500a-42bc-8eab-0cb995b57673,Pitchout,86.1,0,0
9/8/24,"Torrens, L.","Severino, L.",R,"De La Cruz, E.","Iglesias, J.",CS,-0.08,6.2,13.3,19.5,https://baseballsavant.mlb.com/sporty-videos?playId=ebb13d00-78a3-4358-830a-a083c547f850,N/A,92.7,0,0
8/18/24,"Fermin, F.","Singer, B.",R,"De La Cruz, E.","Massey, M.",CS,0.24,5.3,12.6,17.9,https://baseballsavant.mlb.com/sporty-videos?playId=a2fcfb70-9b90-4c2c-a624-89f6dff32f0b,Pitchout,87.5,0,2
9/10/24,"Pagés, P.","Pallante, A.",R,"De La Cruz, E.","Donovan, B.",CS,0.24,4.8,13.1,17.9,https://baseballsavant.mlb.com/sporty-videos?playId=f33c636d-7834-4fb1-b89a-d5d8c8198402,Pitchout,92.3,0,0
9/15/24,"Jeffers, R.","Sands, C.",R,"De La Cruz, E.","Farmer, K.",CS,0.01,6.6,12,18.6,https://baseballsavant.mlb.com/sporty-videos?playId=939021e3-0159-43df-adbe-ebdf76294f39,N/A,96.8,0,2
4/20/24,"O'Hoppe, L.","Sandoval, P.",L,"De La Cruz, E.","Schanuel, N.",FB,-0.19,0,0,0,https://baseballsavant.mlb.com/sporty-videos?playId=c35552e4-1e15-461f-8750-278fe2d6bf4a,N/A,73.2,2,0
6/17/24,"Grandal, Y.","Skenes, P.",R,"De La Cruz, E.","Tellez, R.",PK,0.46,0,0,0,https://baseballsavant.mlb.com/sporty-videos?playId=fd6438fe-3cb5-4694-898a-1712f45f5854,N/A,85,1,2
8/22/24,"Grandal, Y.","Skenes, P.",R,"De La Cruz, E.","Joe, C.",PK,0.46,0,0,0,https://baseballsavant.mlb.com/sporty-videos?playId=9b164f93-cfb4-4baf-9764-9b7f2ba487ac,N/A,83,0,1
8/25/24,"Grandal, Y.","Chapman, A.",L,"De La Cruz, E.","Tellez, R.",PK,0.46,0,0,0,https://baseballsavant.mlb.com/sporty-videos?playId=d45b6913-4e7e-429b-8887-c61c7fd0061b,N/A,73.8,1,0
9/20/24,"Bart, J.","Keller, M.",R,"De La Cruz, E.","Gonzales, N.",SB,0,5,13.6,18.6,https://baseballsavant.mlb.com/sporty-videos?playId=3357ba7f-803c-4aff-a101-4bffa1c90000,N/A,90,2,1
7/19/24,"Ruiz, K.","Corbin, P.",L,"De La Cruz, E.","García Jr., L.",SB,-0.15,9.7,11.9,21.6,https://baseballsavant.mlb.com/sporty-videos?playId=7a2c0bc4-fe9d-44d7-8edc-eedc15940aea,N/A,86.6,0,1
7/4/24,"Wells, A.","Stroman, M.",R,"De La Cruz, E.","Torres, G.",SB,-0.03,6.9,12.3,19.1,https://baseballsavant.mlb.com/sporty-videos?playId=8f09f7b7-c860-40c7-9e51-017e34430c1b,N/A,88.1,2,0
7/8/24,"Díaz, E.","Feltner, R.",R,"De La Cruz, E.",--,SB,0.25,5.5,10.6,16.1,https://baseballsavant.mlb.com/sporty-videos?playId=feffc869-6a4d-47a4-b195-293ffec6ed0b,N/A,78,0,1
5/10/24,"Reetz, J.","Webb, L.",R,"De La Cruz, E.","Schmitt, C.",SB,-0.09,7.3,12.8,20.1,https://baseballsavant.mlb.com/sporty-videos?playId=f9f701bc-ef92-4522-bc84-59c1cc2376ce,N/A,82.8,0,1
7/3/24,"Trevino, J.","Rodón, C.",L,"De La Cruz, E.","Torres, G.",SB,-0.1,5.6,12.8,18.4,https://baseballsavant.mlb.com/sporty-videos?playId=ad72866c-57ba-485c-8c47-66b74f79a5aa,N/A,83.5,1,1
9/10/24,"Pagés, P.","Pallante, A.",R,"De La Cruz, E.","Donovan, B.",SB,-0.14,9.8,12.4,22.1,https://baseballsavant.mlb.com/sporty-videos?playId=2fdfee50-3f1f-4e0e-8764-948ffe69ccb2,N/A,86.5,0,0
4/19/24,"O'Hoppe, L.","Anderson, T.",L,"De La Cruz, E.","Neto, Z.",SB,-0.12,9.7,11.8,21.5,https://baseballsavant.mlb.com/sporty-videos?playId=6c74d4fa-9bb0-4e60-8252-e83e89b334ed,N/A,87.3,1,0
4/19/24,"O'Hoppe, L.","Anderson, T.",L,"De La Cruz, E.","Neto, Z.",SB,0.32,4.4,8.2,12.7,https://baseballsavant.mlb.com/sporty-videos?playId=c402bab0-ad2d-479f-a6da-db3e2da81451,N/A,83.4,0,1
6/16/24,"Contreras, W.","Rea, C.",R,"De La Cruz, E.","Adames, W.",SB,0.02,5.9,12.2,18.1,https://baseballsavant.mlb.com/sporty-videos?playId=08c83b59-c734-418d-a8c7-a18f55f25efe,N/A,93.3,0,2
5/16/24,"Barnes, A.","Glasnow, T.",R,"De La Cruz, E.","Betts, M.",SB,-0.1,9.3,12.8,22.1,https://baseballsavant.mlb.com/sporty-videos?playId=1f19cfd6-44ee-4931-a55b-04150c250e49,N/A,95.9,0,0
5/16/24,"Barnes, A.","Glasnow, T.",R,"De La Cruz, E.","Lux, G.",SB,-0.08,8.8,12.3,21.1,https://baseballsavant.mlb.com/sporty-videos?playId=e021d316-62b7-4bab-9b2f-c1616ac33bb9,N/A,96.6,0,0
7/5/24,"Kelly, C.","Foley, J.",R,"De La Cruz, E.","Kreidler, R.",SB,-0.07,8.4,11.2,19.6,https://baseballsavant.mlb.com/sporty-videos?playId=8467350c-a6f5-489d-a874-3a49c54110f8,N/A,87.6,0,0
7/28/24,"Rortvedt, B.","Armstrong, S.",R,"De La Cruz, E.","Lowe, B.",SB,-0.08,6.7,13.9,20.6,https://baseballsavant.mlb.com/sporty-videos?playId=adb7f60c-3815-4e82-8803-1df3b240a569,N/A,91.5,1,0
7/28/24,"Rortvedt, B.","Cleavinger, G.",L,"De La Cruz, E.","Lowe, B.",SB,0.12,3.9,12.1,16,https://baseballsavant.mlb.com/sporty-videos?playId=ad7a9c6d-b74e-4e01-a430-e6e8eafd260d,N/A,96.5,3,2
7/24/24,"Murphy, S.","Holmes, G.",R,"De La Cruz, E.","Arcia, O.",SB,-0.07,5.3,13,18.3,https://baseballsavant.mlb.com/sporty-videos?playId=00d56fa9-6400-4760-9cf3-0aaa387552f6,N/A,81.9,1,0
6/27/24,"Pagés, P.","Mikolas, M.",R,"De La Cruz, E.","Fermín, J.",SB,0.16,6.6,12.9,19.6,https://baseballsavant.mlb.com/sporty-videos?playId=909690e8-af58-49d6-b49c-0726cfa8bb23,Pitchout,89.1,0,1
4/24/24,"Stubbs, G.","Alvarado, J.",L,"De La Cruz, E.",--,SB,-0.17,11,12.5,23.5,https://baseballsavant.mlb.com/sporty-videos?playId=1e34c3ff-7bfb-440e-bbb8-b7b050e6daaf,N/A,90.8,1,0
7/21/24,"Ruiz, K.","Garcia, R.",L,"De La Cruz, E.","Vargas, I.",SB,-0.08,8.3,11.1,19.4,https://baseballsavant.mlb.com/sporty-videos?playId=b27a0c84-8b8b-4236-992b-25c04f23ee23,N/A,88,0,1
4/26/24,"Heim, J.","Eovaldi, N.",R,"De La Cruz, E.","Semien, M.",SB,-0.12,6.5,12.3,18.8,https://baseballsavant.mlb.com/sporty-videos?playId=733863e0-b2e3-4513-8924-3463a5f24c8b,N/A,87.7,1,2
5/8/24,"Moreno, G.","Montgomery, J.",L,"De La Cruz, E.","Marte, K.",SB,-0.16,11.8,11.4,23.2,https://baseballsavant.mlb.com/sporty-videos?playId=f7294cde-d3f0-41d8-a8c4-cb14f89d099e,N/A,93,0,0
7/22/24,"Alvarez, F.","Peterson, D.",L,"De La Cruz, B.","McNeil, J.",SB,-0.07,11.1,10.8,21.9,https://baseballsavant.mlb.com/sporty-videos?playId=5227d01d-a796-4a78-ada3-93d3af45fbc1,N/A,92.7,2,0
5/31/24,"Gomes, Y.","Smyly, D.",L,"De La Cruz, E.",--,SB,-0.17,7.2,11.1,18.3,https://baseballsavant.mlb.com/sporty-videos?playId=b08af02f-29e8-4220-beaf-fa4326f710c7,N/A,80.6,0,2
6/8/24,"Gomes, Y.","Wicks, J.",L,"De La Cruz, E.","Bote, D.",SB,-0.12,6.3,12.5,18.8,https://baseballsavant.mlb.com/sporty-videos?playId=689c4ef7-15cd-405c-a3e4-8509a5ce5f9c,N/A,83.6,0,2
6/28/24,"Contreras, W.","Romero, J.",L,"De La Cruz, E.","Gorman, N.",SB,-0.06,5.3,11.7,17,https://baseballsavant.mlb.com/sporty-videos?playId=7ff9f7f8-f4d8-4496-8c03-4971c1447454,N/A,86.6,1,1
5/9/24,"Barnhart, T.","Cecconi, S.",R,"De La Cruz, E.","Marte, K.",SB,-0.05,6,13.3,19.3,https://baseballsavant.mlb.com/sporty-videos?playId=4bea08be-514d-477c-8c29-73d773bf5ec9,N/A,81.2,1,0
5/3/24,"Rutschman, A.","Irvin, C.",L,"De La Cruz, E.",--,SB,-0.12,7.5,12.6,20.1,https://baseballsavant.mlb.com/sporty-videos?playId=77f07c7f-c0e9-4b7f-9b5a-6acdfb8e4f7c,N/A,92.6,0,0
